,sepallength,sepalwidth,petallength,petalwidth,cluster,distance,class
0,5.1,3.5,1.4,0.2,2.0,0.11873048907388117,Iris-setosa
1,4.9,3.0,1.4,0.2,0.0,0.048450413223140386,Iris-setosa
2,4.7,3.2,1.3,0.2,0.0,0.017541322314049583,Iris-setosa
3,4.6,3.1,1.5,0.2,0.0,0.022995867768595284,Iris-setosa
4,5.0,3.6,1.4,0.2,2.0,0.154214360041623,Iris-setosa
5,5.4,3.9,1.7,0.4,2.0,0.1664724245577526,Iris-setosa
6,4.6,3.4,1.4,0.3,0.0,0.10845041322314053,Iris-setosa
7,5.0,3.4,1.5,0.2,2.0,0.12356919875130043,Iris-setosa
8,4.4,2.9,1.4,0.2,0.0,0.1393595041322318,Iris-setosa
9,4.9,3.1,1.5,0.1,0.0,0.0557231404958676,Iris-setosa
10,5.4,3.7,1.5,0.2,2.0,0.11744016649323638,Iris-setosa
11,4.8,3.4,1.6,0.2,0.0,0.13481404958677648,Iris-setosa
12,4.8,3.0,1.4,0.1,0.0,0.028450413223140375,Iris-setosa
13,4.3,3.0,1.1,0.1,0.0,0.27481404958677774,Iris-setosa
14,5.8,4.0,1.2,0.2,2.0,0.8096982310093651,Iris-setosa
15,5.7,4.4,1.5,0.4,2.0,1.0103433922996887,Iris-setosa
16,5.4,3.9,1.3,0.4,2.0,0.31098855359001026,Iris-setosa
17,5.1,3.5,1.4,0.3,2.0,0.09711758584807474,Iris-setosa
18,5.7,3.8,1.7,0.3,2.0,0.3061498439125914,Iris-setosa
19,5.1,3.8,1.5,0.3,2.0,0.11776274713839732,Iris-setosa
20,5.4,3.4,1.7,0.2,2.0,0.07840790842872031,Iris-setosa
21,5.1,3.7,1.5,0.4,2.0,0.07389177939646198,Iris-setosa
22,4.6,3.6,1.0,0.2,0.0,0.4093595041322315,Iris-setosa
23,5.1,3.3,1.7,0.5,2.0,0.09098855359001047,Iris-setosa
24,4.8,3.4,1.9,0.2,2.0,0.2655046826222685,Iris-setosa
25,5.0,3.0,1.6,0.2,0.0,0.13845041322314008,Iris-setosa
26,5.0,3.4,1.6,0.4,2.0,0.0742143600416231,Iris-setosa
27,5.2,3.5,1.5,0.2,2.0,0.05937565036420376,Iris-setosa
28,5.2,3.4,1.4,0.2,2.0,0.12324661810613921,Iris-setosa
29,4.7,3.2,1.6,0.2,0.0,0.05026859504132232,Iris-setosa
30,4.8,3.1,1.6,0.2,0.0,0.050268595041322146,Iris-setosa
31,5.4,3.4,1.5,0.4,2.0,0.08744016649323628,Iris-setosa
32,5.2,4.1,1.5,0.1,2.0,0.41453694068678415,Iris-setosa
33,5.5,4.2,1.4,0.2,2.0,0.6216337148803334,Iris-setosa
34,4.9,3.1,1.5,0.1,0.0,0.0557231404958676,Iris-setosa
35,5.0,3.2,1.2,0.2,0.0,0.1311776859504128,Iris-setosa
36,5.5,3.5,1.3,0.2,2.0,0.25195629552549403,Iris-setosa
37,4.9,3.1,1.5,0.1,0.0,0.0557231404958676,Iris-setosa
38,4.4,3.0,1.3,0.2,0.0,0.116632231404959,Iris-setosa
39,5.1,3.4,1.5,0.2,2.0,0.09034339229968766,Iris-setosa
40,5.0,3.5,1.3,0.3,2.0,0.19647242455775185,Iris-setosa
41,4.5,2.3,1.3,0.3,0.0,0.7193595041322325,Iris-setosa
42,4.4,3.2,1.3,0.2,0.0,0.1129958677685953,Iris-setosa
43,5.0,3.5,1.6,0.6,2.0,0.11324661810613923,Iris-setosa
44,5.1,3.8,1.9,0.4,2.0,0.13163371488033312,Iris-setosa
45,4.8,3.0,1.4,0.3,0.0,0.03208677685950399,Iris-setosa
46,5.1,3.8,1.6,0.2,2.0,0.11324661810613931,Iris-setosa
47,4.6,3.2,1.4,0.2,0.0,0.020268595041322546,Iris-setosa
48,5.3,3.7,1.5,0.2,2.0,0.09066597294484907,Iris-setosa
49,5.0,3.3,1.4,0.2,0.0,0.12117768595041259,Iris-setosa
50,7.0,3.2,4.7,1.4,1.0,0.7412796258901087,Iris-versicolor
51,6.4,3.2,4.5,1.5,1.0,0.35684663619938506,Iris-versicolor
52,6.9,3.1,4.9,1.5,1.0,0.44612498671485046,Iris-versicolor
53,5.5,2.3,4.0,1.3,1.0,2.0616919970241256,Iris-versicolor
54,6.5,2.8,4.6,1.5,1.0,0.21416622382825168,Iris-versicolor
55,5.7,2.8,4.5,1.3,1.0,0.7359188011478361,Iris-versicolor
56,6.3,3.3,4.7,1.6,1.0,0.24705282176639395,Iris-versicolor
57,4.9,2.4,3.3,1.0,2.0,4.43098855359001,Iris-versicolor
58,6.6,2.9,4.6,1.3,1.0,0.37499096609629323,Iris-versicolor
59,5.2,2.7,3.9,1.4,1.0,2.4556095227973205,Iris-versicolor
60,5.0,2.0,3.5,1.0,1.0,5.090970347539589,Iris-versicolor
61,5.9,3.0,4.2,1.5,1.0,0.7877744712509296,Iris-versicolor
62,6.0,2.2,4.0,1.0,1.0,1.9655064300138185,Iris-versicolor
63,6.1,2.9,4.7,1.4,1.0,0.19509405887979614,Iris-versicolor
64,5.6,2.9,3.6,1.3,1.0,2.4945785949622707,Iris-versicolor
65,6.7,3.1,4.4,1.4,1.0,0.6044755021787678,Iris-versicolor
66,5.6,3.0,4.5,1.5,1.0,0.753135295993197,Iris-versicolor
67,5.8,2.7,4.1,1.0,1.0,1.5075682856839212,Iris-versicolor
68,6.2,2.2,4.5,1.5,1.0,0.7304548836220651,Iris-versicolor
69,5.6,2.5,3.9,1.1,1.0,2.11694972898289,Iris-versicolor
70,5.9,3.2,4.8,1.8,1.0,0.29509405887979423,Iris-versicolor
71,6.1,2.8,4.0,1.3,1.0,1.123856945477736,Iris-versicolor
72,6.3,2.5,4.9,1.5,1.0,0.19127962589010583,Iris-versicolor
73,6.1,2.8,4.7,1.2,1.0,0.36076416197258,Iris-versicolor
74,6.4,2.9,4.3,1.3,1.0,0.6006610691890768,Iris-versicolor
75,6.6,3.0,4.4,1.4,1.0,0.5020012753746433,Iris-versicolor
76,6.8,2.8,4.8,1.4,1.0,0.3692177702200048,Iris-versicolor
77,6.7,3.0,5.0,1.7,1.0,0.17375385269423047,Iris-versicolor
78,6.0,2.9,4.5,1.5,1.0,0.33963014135402275,Iris-versicolor
79,5.7,2.6,3.5,1.0,1.0,3.055609522797323,Iris-versicolor
80,5.5,2.4,3.8,1.1,1.0,2.5762280794983536,Iris-versicolor
81,5.5,2.4,3.7,1.0,1.0,2.9471559145498993,Iris-versicolor
82,5.8,2.7,3.9,1.2,1.0,1.6527229248591788,Iris-versicolor
83,6.0,2.7,5.1,1.6,1.0,0.15457859496226878,Iris-versicolor
84,5.4,3.0,4.5,1.5,1.0,1.0735476671272155,Iris-versicolor
85,6.0,3.4,4.5,1.6,1.0,0.5738569454777335,Iris-versicolor
86,6.7,3.1,4.7,1.5,1.0,0.31004251248804565,Iris-versicolor
87,6.3,2.3,4.4,1.3,1.0,0.8130322032096948,Iris-versicolor
88,5.6,3.0,4.1,1.3,1.0,1.3984961207354665,Iris-versicolor
89,5.5,2.5,4.0,1.3,1.0,1.8670528217663935,Iris-versicolor
90,5.5,2.6,4.4,1.2,1.0,1.2818981825911344,Iris-versicolor
91,6.1,3.0,4.6,1.4,1.0,0.2695270485705183,Iris-versicolor
92,5.8,2.6,4.0,1.2,1.0,1.4982899351684569,Iris-versicolor
93,5.0,2.3,3.3,1.0,2.0,4.615504682622269,Iris-versicolor
94,5.6,2.7,4.2,1.3,1.0,1.258702306302476,Iris-versicolor
95,5.7,3.0,4.2,1.2,1.0,1.1957126155808262,Iris-versicolor
96,5.7,2.9,4.2,1.3,1.0,1.0938569454777332,Iris-versicolor
97,6.2,2.9,4.3,1.3,1.0,0.6010734403230965,Iris-versicolor
98,5.1,2.5,3.0,1.1,2.0,3.3835691987513017,Iris-versicolor
99,5.7,2.8,4.1,1.3,1.0,1.2629291104261882,Iris-versicolor
100,6.3,3.3,6.0,2.5,1.0,1.9016919970241222,Iris-virginica
101,5.8,2.7,5.1,1.9,1.0,0.3474651929004121,Iris-virginica
102,7.1,3.0,5.9,2.1,1.0,1.7004548836220645,Iris-virginica
103,6.3,2.9,5.6,1.8,1.0,0.4222074609416497,Iris-virginica
104,6.5,3.0,5.8,2.2,1.0,1.014269316611753,Iris-virginica
105,7.6,3.0,6.6,2.1,1.0,4.557155914549899,Iris-virginica
106,4.9,2.5,4.5,1.7,1.0,2.322826017642677,Iris-virginica
107,7.3,2.9,6.3,1.8,1.0,2.8078775640344356,Iris-virginica
108,6.7,2.5,5.8,1.8,1.0,1.027155914549899,Iris-virginica
109,7.2,3.6,6.1,2.5,1.0,3.266124986714847,Iris-virginica
110,6.5,3.2,5.1,2.0,1.0,0.2502486980550535,Iris-virginica
111,6.4,2.7,5.3,1.9,1.0,0.2027229248591768,Iris-virginica
112,6.8,3.0,5.5,2.1,1.0,0.7180837496014455,Iris-virginica
113,5.7,2.5,5.0,2.0,1.0,0.6048878733127829,Iris-virginica
114,5.8,2.8,5.1,2.4,1.0,0.7742693166117516,Iris-virginica
115,6.4,3.2,5.3,2.3,1.0,0.5894239557870109,Iris-virginica
116,6.5,3.0,5.5,1.8,1.0,0.3562280794983521,Iris-virginica
117,7.7,3.8,6.7,2.2,1.0,6.077465192900417,Iris-virginica
118,7.7,2.6,6.9,2.3,1.0,6.172619832075674,Iris-virginica
119,6.0,2.2,5.0,1.5,1.0,0.6021043681581458,Iris-virginica
120,6.9,3.2,5.7,2.3,1.0,1.371382718673611,Iris-virginica
121,5.6,2.8,4.9,2.0,1.0,0.5948878733127831,Iris-virginica
122,7.7,2.8,6.7,2.0,1.0,5.089011584652995,Iris-virginica
123,6.3,2.7,4.9,1.8,1.0,0.049114677436497015,Iris-virginica
124,6.7,3.3,5.7,2.1,1.0,1.0428260176426822,Iris-virginica
125,7.2,3.2,6.0,1.8,1.0,2.0013827186736117,Iris-virginica
126,6.2,2.8,4.8,1.8,1.0,0.05375385269422886,Iris-virginica
127,6.1,3.0,4.9,1.8,1.0,0.06756828568391887,Iris-virginica
128,6.4,2.8,5.6,2.1,1.0,0.5917950898076293,Iris-virginica
129,7.2,3.0,5.8,1.6,1.0,1.5378775640344369,Iris-virginica
130,7.4,2.8,6.1,1.9,1.0,2.5593208630035096,Iris-virginica
131,7.9,3.8,6.4,2.0,1.0,5.560661069189078,Iris-virginica
132,6.4,2.8,5.6,2.2,1.0,0.6826198320756705,Iris-virginica
133,6.3,2.8,5.1,1.5,1.0,0.06581570836433198,Iris-virginica
134,6.1,2.6,5.6,1.4,1.0,0.6212796258901033,Iris-virginica
135,7.7,3.0,6.1,2.3,1.0,3.637362100116911,Iris-virginica
136,6.3,3.4,5.6,2.4,1.0,1.1705579764055658,Iris-virginica
137,6.4,3.1,5.5,1.8,1.0,0.35911467743649605,Iris-virginica
138,6.0,3.0,4.8,1.8,1.0,0.13952704857051657,Iris-virginica
139,6.9,3.1,5.4,2.1,1.0,0.7623105537251583,Iris-virginica
140,6.7,3.1,5.6,2.4,1.0,1.1116919970241246,Iris-virginica
141,6.9,3.1,5.1,2.3,1.0,0.7892177702200034,Iris-virginica
142,5.8,2.7,5.1,1.9,1.0,0.3474651929004121,Iris-virginica
143,6.8,3.2,5.9,2.3,1.0,1.5980837496014448,Iris-virginica
144,6.7,3.3,5.7,2.5,1.0,1.5261249867148465,Iris-virginica
145,6.7,3.0,5.2,2.3,1.0,0.5951971516633013,Iris-virginica
146,6.3,2.5,5.0,1.9,1.0,0.19282601764268248,Iris-virginica
147,6.5,3.0,5.2,2.0,1.0,0.2031352959931979,Iris-virginica
148,6.2,3.4,5.4,2.3,1.0,0.8334445743437109,Iris-virginica
149,5.9,3.0,5.1,1.8,1.0,0.20447550217876256,Iris-virginica
